시간,규모,진앙(km),위도,경도,위치
2020-05-11 19:45:06,3.8,16,38.68,127.18,북한 강원 평강 북북서쪽 32km 지역
2020-07-07 14:08:23,3.3,12,37.19,125.55,인천 옹진군 연평도 남남서쪽 54km 해역
2020-11-19 23:17:28,3.1,15,37.99,125.37,북한 황해남도 옹진 북쪽 7km 지역
2021-02-08 03:37:34,3.2,24,40.67,127.45,북한 함경남도 장진 북북동쪽 37km 지역
2021-04-19 14:20:27,3.7,15,35.07,125.08,전남 신안군 흑산도 북서쪽 54km 해역
2021-08-21 09:40:40,4.0,7,35.70,124.70,전북 군산시 어청도 서남서쪽 124km 해역
2021-12-14 17:19:14,4.9,17,33.09,126.16,제주 서귀포시 서남서쪽 41km 해역
2021-12-17 06:22:10,3.2,18,33.12,126.18,제주 서귀포시 서남서쪽 38km 해역
2022-02-11 10:35:26,3.1,17,41.30,129.21,북한 함경북도 길주 북북서쪽 40km 지역
2022-04-10 02:45:46,3.4,18,36.45,129.62,경북 영덕군 동쪽 23km 해역
2022-08-03 07:55:25,3.1,8,33.14,127.67,전남 여수시 거문도 남남동쪽 104km 해역
2022-09-10 14:59:48,3.4,7,38.95,127.29,북한 강원 원산 남남서쪽 26km 지역
2022-10-29 08:27:33,3.5,13,36.88,127.88,충북 괴산군 북동쪽 11km 지역
2022-10-29 08:27:49,4.1,12,36.88,127.88,충북 괴산군 북동쪽 11km 지역
2022-11-20 01:01:17,3.3,20,33.96,125.22,전남 신안군 흑산도 남남서쪽 81km 해역
2022-12-01 15:17:58,3.2,14,36.17,128.27,경북 김천시 동북동쪽 14km 지역
2023-01-09 01:28:15,3.7,19,37.74,126.20,인천 강화군 서쪽 25km 해역
2023-03-03 11:26:54,3.0,8,35.21,127.94,경남 진주시 서북서쪽 16km 지역
2023-04-25 12:02:50,3.1,28,37.87,129.52,강원 동해시 북동쪽 52km 해역
2023-04-25 15:55:55,3.5,33,37.86,129.49,강원 동해시 북동쪽 50km 해역
2023-04-30 19:03:29,3.1,6,36.32,127.75,충북 옥천군 동쪽 16km 지역
2023-05-14 08:35:25,3.1,30,37.86,129.51,강원 동해시 북동쪽 51km 해역
2023-05-15 06:27:37,4.5,31,37.87,129.52,강원 동해시 북동쪽 52km 해역
2023-06-16 06:03:01,3.1,25,34.02,124.80,전남 신안군 흑산도 남서쪽 92km 해역
2023-07-03 10:04:38,3.3,14,41.30,129.12,북한 함경북도 길주 북북서쪽 42km 지역
2023-07-29 19:07:59,3.5,6,35.80,127.53,전북 장수군 북쪽 17km 지역
2023-09-27 00:48:43,3.2,6,41.33,129.16,북한 함경북도 길주 북북서쪽 44km 지역
2023-10-10 00:20:28,3.1,13,36.18,124.42,충남 태안군 서격렬비도 서남서쪽 111km 해역
2023-10-25 21:46:30,3.4,12,36.35,127.05,충남 공주시 남남서쪽 12km 지역
2023-11-30 04:55:24,4.0,12,35.79,129.42,경북 경주시 동남동쪽 19km 지역
2023-12-04 02:28:02,3.1,22,41.30,129.15,북한 함경북도 길주 북북서쪽 41km 지역
2023-12-23 04:34:05,3.0,6,35.80,127.53,전북 장수군 북쪽 17km 지역
2024-01-31 17:36:22,3.8,15,32.59,125.53,제주 서귀포시 이어도 북북동쪽 61km 해역
2024-06-12 08:26:49,4.8,8,35.70,126.72,전북 부안군 남남서쪽 4km 지역
2024-06-12 13:55:42,3.1,8,35.70,126.73,전북 부안군 남쪽 4km 지역
2024-08-01 08:34:12,3.0,9,38.76,125.89,북한 황해북도 송림 동쪽 22km 지역
2024-08-25 23:28:19,3.0,24,37.86,129.52,강원 동해시 북동쪽 52km 해역
2024-09-19 19:41:22,3.8,8,40.31,126.88,북한 평안남도 대흥 북쪽 25km 지역
2024-11-09 13:23:12,3.1,11,41.27,129.19,북한 함경북도 길주 북북서쪽 37km 지역
2025-02-07 02:35:34,3.1,9,37.14,127.76,충북 충주시 북서쪽 22km 지역
2025-05-05 07:53:59,3.7,14,37.12,125.94,충남 태안군 북서쪽 52km 해역
2025-05-10 13:19:00,3.3,9,38.14,127.09,경기 연천군 북북동쪽 5km 지역
2025-10-08 11:49:39,3.1,9,36.28,127.76,충북 옥천군 동쪽 17km 지역
2026-02-15 04:13:38,3.0,9,38.13,127.10,경기 연천군 북북동쪽 4km 지역
2026-03-07 10:06:59,3.0,22,35.46,125.82,전남 영광군 서북서쪽 66km 해역
2026-03-11 18:05:49,3.1,16,37.44,129.83,강원 삼척시 동쪽 59km 해역
